Rk,Name,Tm,Lg,PA,HR,RBI,SB,BA,OPS,G,GS,Rtot,Pos Summary,rOBA,WAR
1295,Chien-Ming Wang,NYY,AL,4,0,0,0,0,0,,,,,,
1296,Jarrod Washburn*,TOT,AL,3,0,0,0,0,0,,,,,,
1297,Jarrod Washburn*,SEA,AL,3,0,0,0,0,0,,,,,,
1298,David Weathers,TOT,NL,1,0,0,0,,,,,,,,
1299,David Weathers,CIN,NL,0,0,0,0,,,,,,,,
1300,David Weathers,MIL,NL,1,0,0,0,,,,,,,,
1301,Jeff Weaver,LAD,NL,15,0,0,0,0.231,0.462,,,,,,
1302,Jered Weaver,LAA,AL,5,0,1,0,0,0.2,,,,,,
1303,Brandon Webb,ARI,NL,2,0,0,0,0,0,,,,,,
1304,Ryan Webb,SDP,NL,0,0,0,0,,,,,,,,
1305,Rickie Weeks,MIL,NL,162,9,24,2,0.272,0.857,,,,,,
1306,Todd Wellemeyer,STL,NL,45,0,0,0,0.128,0.256,,,,,,
1307,Kip Wells,TOT,NL,17,0,0,0,0.091,0.182,,,,,,
1308,Kip Wells,WSN,NL,1,0,0,0,,,,,,,,
1309,Kip Wells,CIN,NL,16,0,0,0,0.091,0.182,,,,,,
1310,Randy Wells,CHC,NL,61,0,2,0,0.191,0.48,,,,,,
1311,Vernon Wells,TOR,AL,684,15,66,17,0.26,0.711,,,,,,
1312,Jayson Werth,PHI,NL,676,36,99,20,0.268,0.879,,,,,,
1313,Sean West,FLA,NL,35,0,0,0,0.065,0.161,,,,,,
1314,Dan Wheeler,TBR,AL,0,0,0,0,,,,,,,,
1315,Sean White,SEA,AL,0,0,0,0,,,,,,,,
1316,Josh Whitesell*,ARI,NL,133,1,14,0,0.194,0.633,,,,,,
1317,Eli Whiteside,SFG,NL,134,2,13,0,0.228,0.607,,,,,,
1318,Matt Wieters#,BAL,AL,385,9,43,0,0.288,0.753,,,,,,
1319,Ty Wigginton,BAL,AL,436,11,41,1,0.273,0.714,,,,,,
1320,Josh Willingham,WSN,NL,502,24,61,4,0.26,0.863,,,,,,
